time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554990427.6855,15.265387,-0.101562,0,3.000000,0.300000,0.300000,3.000000
1554990427.6855,16.646028,-0.291992,0,517.000000,51.430000,51.970000,517.000000
1554990427.6855,24.840410,-0.465820,0,517.000000,5.143000,98.473000,517.000000
1554990427.6855,23.459764,-0.391602,0,517.000000,0.514300,140.325700,517.000000
1554990427.6855,32.679682,-0.596680,0,517.000000,0.051430,177.993130,517.000000
1554990427.6855,11.178349,-0.187500,1,517.000000,0.005143,211.893817,517.000000
1554990427.6855,22.001431,-0.447266,1,517.000000,0.000514,242.404435,517.000000
1554990427.6855,16.951378,-0.296875,1,517.000000,0.000051,269.863992,517.000000
1554990427.6855,16.695610,-0.280273,1,517.000000,0.000005,294.577593,517.000000
1554990427.6855,17.103901,-0.291016,1,517.000000,0.000001,316.819833,517.000000
1554990427.6855,15.359642,-0.344727,1,517.000000,0.000000,336.837850,517.000000
1554990427.6855,56.859236,-1.199219,1,517.000000,0.000000,354.854065,517.000000
1554990427.6855,31.952547,-0.615234,1,517.000000,0.000000,371.068659,517.000000
1554990427.6855,-35.788091,1.157227,1,517.000000,0.000000,385.661793,517.000000
1554990427.6855,15.839852,-0.255859,1,516.000000,-0.100000,398.695613,517.000000
1554990427.6855,16.449423,-0.286133,1,517.000000,0.090000,410.526052,517.000000
1554990427.6855,16.496577,-0.286133,1,517.000000,0.009000,421.173447,517.000000
1554990427.6855,14.528516,-0.352539,1,517.000000,0.000900,430.756102,517.000000
1554990427.6855,66.258760,-1.717773,0,517.000000,0.000090,439.380492,517.000000
1554990427.6855,20.174781,-0.433594,0,516.000000,-0.099991,447.042443,517.000000
1554990427.6855,-48.643862,1.983398,0,516.000000,-0.009999,453.938198,517.000000
1554990427.6855,15.954311,-0.277344,0,516.000000,-0.001000,460.144379,517.000000
1554990427.6855,17.238559,-0.294922,0,516.000000,-0.000100,465.729941,517.000000
1554990427.6855,15.598729,-0.266602,0,517.000000,0.099990,470.856947,517.000000
1554990427.6855,16.985918,-0.457031,0,517.000000,0.009999,475.471252,517.000000
1554990427.6855,58.619143,-0.722656,1,517.000000,0.001000,479.624127,517.000000
1554990427.6855,11.971964,-0.270508,1,516.000000,-0.099900,483.261714,517.000000
1554990427.6855,-45.768327,1.983398,1,516.000000,-0.009990,486.535543,517.000000
1554990427.6855,17.378188,-0.307617,1,517.000000,0.099001,489.581988,517.000000
1554990427.6855,17.654949,-0.305664,1,517.000000,0.009900,492.323790,517.000000
1554990427.6855,17.873272,-0.313477,1,517.000000,0.000990,494.791411,517.000000
1554990427.6855,21.609954,-1.155273,1,517.000000,0.000099,497.012270,517.000000
1554990427.6855,44.882847,-0.507812,1,517.000000,0.000010,499.011043,517.000000
1554990427.6855,-27.410835,1.042969,1,517.000000,0.000001,500.809938,517.000000
1554990427.6855,13.008886,-0.220703,1,517.000000,0.000000,502.428945,517.000000
1554990427.6855,17.170776,-0.298828,1,517.000000,0.000000,503.886050,517.000000
1554990427.6855,16.832106,-0.291016,1,517.000000,0.000000,505.197445,517.000000
1554990427.6855,18.556462,-0.573242,0,517.000000,0.000000,506.377701,517.000000
1554990427.6855,60.281765,-0.809570,0,516.000000,-0.100000,507.339931,517.000000
1554990427.6855,-0.693509,0.024414,0,516.000000,-0.010000,508.205937,517.000000
1554990427.6855,3.625675,-0.177734,0,516.000000,-0.001000,508.985344,517.000000
1554990427.6855,17.249790,-0.310547,0,517.000000,0.099900,509.786809,517.000000
1554990427.6855,17.675647,-0.300781,0,517.000000,0.009990,510.508128,517.000000
1554990427.6855,17.288231,-0.319336,0,517.000000,0.000999,511.157316,517.000000
1554990427.6855,31.124329,-1.246094,1,517.000000,0.000100,511.741584,517.000000
1554990427.6855,23.926340,-0.416992,1,15.000000,-50.199990,462.067426,517.000000
1554990427.6855,-34.738626,1.431641,1,7.000000,-5.819999,416.560683,517.000000
1554990427.6855,8.394961,-0.168945,1,2.000000,-1.082000,375.104615,517.000000
1554990427.6855,18.116360,-0.305664,1,2.000000,-0.108200,337.794153,517.000000
1554990427.6855,17.032376,-0.316406,1,2.000000,-0.010820,304.214738,517.000000
1554990427.6855,16.014607,-0.554688,1,6.000000,0.398918,274.393264,517.000000
1554990427.6855,71.506072,-0.675781,1,517.000000,51.139892,298.653938,517.000000
1554990427.6855,13.704060,-0.476562,1,3.000000,-46.286011,269.088544,517.000000
1554990427.6855,48.103798,-0.850586,1,3.000000,-4.628601,242.479690,516.000000
1554990427.6855,18.489343,-0.319336,1,2.000000,-0.562860,218.431721,516.000000
1554990427.6855,18.306249,-0.309570,1,2.000000,-0.056286,196.788549,516.000000
1554990427.6855,16.434453,-0.390625,1,3.000000,0.094371,177.409694,15.000000
1554990427.6855,67.466535,-2.000000,0,517.000000,51.409437,211.368724,15.000000
1554990427.6855,23.320291,-0.568359,0,7.000000,-45.859056,190.931852,7.000000
1554990427.6855,-45.088334,1.983398,0,9.000000,-4.385906,172.738667,7.000000
1554990427.6855,17.887486,-0.313477,0,2.000000,-1.138591,155.664800,7.000000
1554990427.6855,19.138794,-0.319336,0,2.000000,-0.113859,140.298320,6.000000
1554990427.6855,18.322517,-0.384766,0,2.000000,-0.011386,126.468488,3.000000
1554990427.6855,44.718700,-2.000000,0,517.000000,51.498861,165.521639,3.000000
1554990427.6855,24.941144,-0.548828,0,10.000000,-45.550114,149.969475,3.000000
1554990427.6855,-44.025294,1.983398,0,6.000000,-4.955011,135.572528,3.000000
1554990427.6855,17.030390,-0.297852,0,3.000000,-0.795501,122.315275,3.000000
1554990427.6855,19.109898,-0.322266,1,3.000000,-0.079550,110.383747,3.000000
1554990427.6855,18.778253,-0.335938,1,3.000000,-0.007955,99.645373,3.000000
1554990427.6855,22.057830,-0.804688,1,517.000000,51.399204,141.380835,3.000000
1554990427.6855,42.902943,-0.845703,1,517.000000,5.139920,178.942752,3.000000
1554990427.6855,-19.566519,0.725586,1,5.000000,-50.686008,161.548477,3.000000
