time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554988127.5395,-8.007032,0.140625,0,516.000000,51.600000,51.600000,516.000000
1554988127.5395,-7.298794,0.126953,0,516.000000,5.160000,98.040000,516.000000
1554988127.5395,-8.511146,0.147461,0,517.000000,0.616000,139.936000,516.000000
1554988127.5395,-7.391406,0.128906,0,517.000000,0.061600,177.642400,517.000000
1554988127.5395,-8.030042,0.140625,0,516.000000,-0.093840,211.478160,516.000000
1554988127.5395,-7.952150,0.140625,1,516.000000,-0.009384,241.930344,516.000000
1554988127.5395,-7.733133,0.135742,1,516.000000,-0.000938,269.337310,516.000000
1554988127.5395,-7.842154,0.135742,1,516.000000,-0.000094,294.003579,516.000000
1554988127.5395,-7.769627,0.135742,1,516.000000,-0.000009,316.203221,516.000000
1554988127.5395,-7.409058,0.128906,1,516.000000,-0.000001,336.182899,516.000000
1554988127.5395,-8.089219,0.140625,1,516.000000,-0.000000,354.164609,516.000000
1554988127.5395,-7.978855,0.137695,1,516.000000,-0.000000,370.348148,516.000000
1554988127.5395,-8.142272,0.141602,1,516.000000,-0.000000,384.913333,516.000000
1554988127.5395,-7.555527,0.130859,1,516.000000,-0.000000,398.022000,516.000000
1554988127.5395,-8.253382,0.144531,1,516.000000,-0.000000,409.819800,516.000000
1554988127.5395,-7.388192,0.128906,1,516.000000,-0.000000,420.437820,516.000000
1554988127.5395,-8.615715,0.149414,1,516.000000,-0.000000,429.994038,516.000000
1554988127.5395,-7.855328,0.147461,1,516.000000,-0.000000,438.594634,516.000000
1554988127.5395,-7.869480,0.138672,0,516.000000,0.000000,446.335171,516.000000
1554988127.5395,-7.366147,0.130859,0,516.000000,0.000000,453.301654,516.000000
1554988127.5395,-8.078831,0.140625,0,516.000000,0.000000,459.571488,516.000000
1554988127.5395,-7.649069,0.132812,0,516.000000,0.000000,465.214339,516.000000
1554988127.5395,-8.036561,0.140625,0,516.000000,0.000000,470.292905,516.000000
1554988127.5395,-8.481907,0.138672,0,516.000000,0.000000,474.863615,516.000000
